FEN,Moves,MateIn,Winner
2r2r1k/ppp3pR/3p4/4pP2/2Q1P1q1/8/PPP5/1K1R4 b - - 0 22,h8h7 d1h1 g4h3 h1h3,2,White
5r2/p1p2B2/1p3Q1k/6R1/7n/8/P1q3PP/7K b - - 4 36,h4g6 g5g6 c2g6 f6g6,2,White
6k1/p4pR1/2N4p/3p4/5Q2/2Pb4/qr1B3K/8 b - - 0 31,g8g7 f4h6 g7g8 c6e7,2,White
8/6pk/p7/6PK/3r4/7P/4R3/8 b - - 0 44,a6a5 g5g6 h7h8 e2e8,2,Black
r5k1/1p3Qpp/8/p7/3P4/2P5/1q4PP/5RK1 b - - 1 29,g8h8 f7f8 a8f8 f1f8,2,White
8/2p2pPk/3p3P/2nPp1B1/8/3q4/r4P2/K5RR w - - 0 33,a1a2 d3c2 a2a1 c5b3,2,Black
6k1/pR3pPp/5n2/1N1p4/8/1P6/6rr/3R1K2 b - - 7 28,g2g7 b7b8 f6e8 b8e8,2,Black
r1bq2rk/ppb2p2/3p1n2/2pP2Q1/2P5/2NB3R/PP3PPP/R5K1 b - - 4 19,c8h3 g5h6 f6h7 h6h7,2,White
6k1/4Qp1p/R2p2p1/3P4/1q6/7P/5PP1/2r3K1 w - - 1 37,g1h2 b4f4 g2g3 f4f2,2,Black
3Q4/6pk/8/5P1K/P3B2P/1P4q1/8/8 w - - 2 63,f5f6 g7g6 e4g6 g3g6,2,White
R7/2r4R/2p1p2p/1p1k1p2/1P1P1p2/3KP1PP/8/8 b - - 0 37,c7h7 a8d8 h7d7 d8d7,2,White
6kR/6p1/6K1/P2R4/6P1/r2p4/8/5r2 b - - 4 45,g8h8 d5d8 f1f8 d8f8,2,White
6k1/2p1q1pp/3p3P/p2P4/2pQ4/2B2bP1/PP3P1R/4rK2 w - - 1 34,c3e1 e7e2 f1g1 e2e1,2,Black
r1b1k2r/pp3pp1/1b2p3/P2pP3/1P3P1p/3P2n1/6PP/R2QR2K w kq - 1 20,h2g3 h4g3 d1h5 h8h5,2,Black
5rk1/5Rpp/6b1/pp6/3b1Q2/1B4P1/Pq3P1P/4R1K1 b - - 0 25,g6f7 f4f7 f8f7 e1e8,2,White
7k/p2R3p/bp2Q1pq/n3P3/4B3/P1N4P/1P4P1/5r1K w - - 1 31,h1h2 h6f4 g2g3 f4f2 e4g2 f2g1,3,Black
6k1/5pP1/1p4p1/3NP1P1/2rP4/Kn6/1Pq5/3R3R b - - 0 37,b3d4 d5f6 g8g7 h1h7 g7f8 h7h8 f8e7 h8e8,4,Black
1k6/1pp4Q/p3B3/3Pq3/6Pp/3nP1P1/PP3r1K/R4R2 w - - 0 32,f1f2 e5g3 h2h1 d3f2,2,Black
5rk1/pp2r1p1/2nqpRQ1/3p2N1/3P4/2P4P/PP3PP1/1R4K1 b - - 0 27,f8f6 g6h7 g8f8 h7h8,2,White
QQ6/3p1kpp/4p3/2p1Pp2/2P2q2/P1B5/6PP/7K w - - 0 38,a8f3 f4c1 c3e1 c1e1 f3f1 e1f1,3,White
r3r1k1/ppp2p1Q/3p4/3q2Np/6p1/8/PPP5/1K3R2 b - - 3 28,g8f8 f1f7 d5f7 h7f7,2,White
8/5R1p/3p2pk/2pBb3/4P1PP/pb5K/1r6/8 b - - 3 35,b3d5 g4g5 h6h5 f7h7,2,Black
r1b2rkR/ppp1qpp1/2np4/1B2p1N1/4P1P1/2NP1Q2/PPP3P1/R4K2 b - - 3 13,g8h8 f3h3 h8g8 h3h7,2,White
7Q/1k3p1p/pr6/3R4/2pP1q1P/P1P2P2/KP3P2/r7 w - - 5 31,a2a1 f4c1 a1a2 b6b2,2,Black
5r1k/p4qpp/1p1b4/3P4/1PP1R3/1Q5n/5PP1/4R1K1 w - - 0 29,g2h3 f7f2 g1h1 f2h2,2,Black
1Q5k/6pp/5p2/5b2/3Pq3/2P5/5PPP/r4BK1 b - - 1 29,f5c8 b8c8 e4e8 c8e8,2,White
4kr2/p2rn1pp/2Q1R3/3p4/3q4/P1N5/1P3PPP/R5K1 w - - 3 22,a1e1 d4f2 g1h1 f2f1 e1f1 f8f1,3,White
r4k2/p3Qp1p/3p1P2/2pp4/6qP/6P1/PP2R2K/8 b - - 4 34,f8g8 e7e8 a8e8 e2e8,2,White
4bknQ/4np2/1p2N1p1/3pP3/3P2P1/p3BB2/5PK1/1q6 b - - 0 36,f7e6 e3h6 f8f7 h8g7,2,White
5r1k/6pp/1p1b4/B7/2Q1p3/4P1P1/P2P1qBK/1R6 w - - 0 26,b1f1 f2g3 h2g1 g3h2,2,Black
6r1/2pQkp2/p6p/3R4/1P1p3b/P2P1P2/4q1rP/5R1K b - - 5 31,e7f6 d5f5 f6g7 f5f7 g7h8 f7h7,3,Black
5Nk1/pp3rpp/1q6/3p4/8/2P4n/PPB3PP/R2Q1RK1 w - - 1 20,g1h1 b6g1 f1g1 h3f2,2,Black
k1rR3b/B3qb1p/PQp1Np1n/1p2n1p1/4P3/1B3P2/1PP3PP/6K1 b - - 4 29,f7e6 d8c8 e6c8 b6b8,2,White
6rk/pR4Qp/8/3P4/1B3p2/5B1P/q4PPK/1r6 b - - 0 32,g8g7 b7b8 g7g8 b4c3,2,White
1k2r3/1p3R2/p1b5/2Q5/5N2/6P1/PP3P1P/6K1 w - - 0 34,h2h3 e8e1 g1h2 e1h1,2,White
4QQ2/5Rpk/7q/2pp4/8/2P1b1r1/5KP1/7r w - - 4 43,f2g3 h6h4 g3f3 h4f2 f3g4 h1h4,3,Black
r6k/p1qP2pp/8/1p1Q2P1/8/7P/PP3r2/2KR3R w - - 1 22,c1b1 c7c2 b1a1 c2b2,2,Black
2r4k/p1r3pp/8/8/7P/4Q3/PP4P1/K1q2R2 w - - 3 30,f1c1 c7c1 e3c1 c8c1,2,Black
2rr3k/pp4p1/1p1B3R/6p1/6q1/1Q6/PPP5/2K1R3 b - - 0 33,g7h6 d6e5 h8h7 b3f7,2,White
1k1r3r/1n1q1p1p/Q2N1p2/8/3p4/P1b5/2P2PPP/1R4K1 b - - 1 23,d8e8 b1b7 d7b7 a6b7,2,White
Q5k1/1r2p3/4r1p1/5p2/4q3/2P5/P7/K5RR b - - 1 30,g8f7 h1h7 f7f6 a8h8,2,White
7r/k1Qn4/Bp2p2p/p1P3q1/4P3/P7/N1P2rPP/1R5K b - - 6 31,a7a6 b1b6 d7b6 c7b6,2,White
R7/kpp3p1/p4r2/2N3p1/2Nn1bQ1/P1P2P2/1Pq3P1/K7 b - - 3 36,a7a8 g4c8 a8a7 c8b7,2,White
r5k1/5ppp/r1pp2P1/1n2pP1P/4P3/1P2Q3/1BP5/qK1R3R w - - 1 26,b2a1 a6a1 b1b2 a8a2,2,Black
1r1q1r2/1pp4k/3p1nR1/3PpP1b/p3N3/P7/1PP5/2K4R b - - 2 28,f8g8 e4f6 d8f6 h1h5,2,White
R6k/2r4p/3p2p1/P2Bb1q1/4P3/5P1Q/1r3P2/5K2 b - - 10 31,h8g7 a8g8 g7f6 h3e6,2,White
2r3k1/3RR2p/8/p3N1P1/1p6/8/1Pn4P/1K3r2 w - - 2 36,b1a2 f1a1 a2b3 a5a4,2,Black
8/4n1p1/p2pBkR1/2qPp2p/8/P4P2/3b2PP/1Q5K b - - 1 39,e7g6 b1f5 f6e7 f5f7 e7d8 f7d7,3,White
7Q/8/6p1/3B2kp/8/1P1P2PK/P1q4P/3b4 w - - 4 44,h8d4 d1g4 d4g4 h5g4,2,White
8/R3b1p1/3Nppkp/p7/4qn2/PP6/5PPP/B1r2QK1 w - - 7 32,d6e4 f4e2 g1h1 c1f1,2,Black
4k1nr/q3bppp/2BR2b1/6P1/1p6/8/2P1QP1P/4K1R1 b k - 0 20,e8f8 d6d8 e7d8 e2e8,2,White
8/RQ3pkp/1p2pbp1/1Bq2n2/2P2P2/6B1/3r1PKP/8 b - - 6 53,f5g3 b7f7 g7h6 f7h7,2,Black
3r3k/6p1/1pQ1B2p/2n5/7b/5P2/PPP2P1P/1Kq5 w - - 0 24,b1c1 h4g5 f3f4 g5f4 c1b1 d8d1,3,Black
8/5pk1/rp2rN1p/p2pP3/P1bn4/6R1/5K1P/1R6 b - - 1 36,g7f8 g3g8 f8e7 g8e8,2,White
1r4k1/4Rpp1/5n1p/2pB4/p2p1Q2/P4P2/1qP3PP/7K b - - 5 28,f6d5 f4f7 g8h8 f7g7,2,Black
2b5/2N3k1/pp5p/6p1/P5P1/2PQ1nqP/1P2R3/3R3K w - - 2 45,e2g2 g3h3 g2h2 h3h2,2,White
r2q1k2/p1p3pp/1pn1Q3/8/4R3/2p5/PP3PPP/R1B3K1 w - - 1 17,e6c6 d8d1 e4e1 d1e1,2,White
r1b2kr1/p5p1/2p1pQ2/1p1q4/3P4/5PR1/PPP1B3/1K4R1 b - - 0 25,g7f6 g3g8 f8e7 g1g7 e7d6 g8d8 c8d7 g7d7,4,White
r5rk/5p1p/1nq1pPpQ/p2pP1P1/1p1R4/7P/PP5B/3R3K b - - 0 30,b6d7 h6h7 h8h7 d4h4,2,White
1k3r2/1p4rp/pP1Q2n1/8/3P1p2/5P2/3q2PP/1RR4K b - - 1 32,b8a8 d6f8 g6f8 c1c8,2,White
r7/p7/5R1b/1p2n3/3pNk2/1P1P1P2/1PP4r/3K1R2 b - - 3 37,f4e3 f1e1 h2e2 e1e2,2,White
6k1/p4ppp/1p6/1q2Q3/8/1P5P/P4PP1/3R2K1 b - - 0 24,b5e5 d1d8 e5e8 d8e8,2,White
6k1/p5p1/2Q1p3/3p1q2/3P4/2P1prPp/PP2RP1P/6K1 w - - 0 27,e2e3 f5b1 e3e1 b1e1,2,Black
7r/1p2kpN1/4b3/3ppp2/p7/2PPbP2/PP2N1PK/R4R2 w - - 1 26,h2g3 f5f4 e2f4 e5f4,2,Black
rn3rk1/pR3Qpp/2p5/8/6B1/8/PPPq1PPP/4R1K1 b - - 0 23,f8f7 e1e8 f7f8 g4e6 g8h8 e8f8,3,White
k6r/p4p2/1p2p3/1P6/2QP2p1/2P1q1n1/6K1/R1R5 b - - 0 38,g3e4 a1a7 a8a7 c4c7 a7a8 c1a1,3,Black
1r4k1/p1p2ppp/2p5/3p4/q1bQ4/P1P5/1KPB1PPP/4R2R w - - 1 19,b2c1 a4a3 c1d1 b8b1 d2c1 a3c1,3,Black
8/PP5R/8/8/5pp1/2P1k3/r7/4K3 w - - 1 55,b7b8q a2a1 b8b1 a1b1,2,White
r2r1k2/pR5p/4p1pN/1N3b2/5n2/2P5/PPB2PPP/2K5 w - - 5 24,b7h7 f4e2 c1b1 d8d1,2,White
r5k1/2R2Rpp/p5q1/1p1rP3/6Q1/P7/1P4PP/7K w - - 3 25,g4g6 d5d1 f7f1 d1f1,2,White
2R3k1/5pp1/7p/3Q4/2pP1P1K/6P1/5q1P/6r1 b - - 1 44,g8h7 d5f5 g7g6 f5f7,2,White
k1r5/2P5/K2R4/8/8/8/8/8 b - - 2 73,c8c7 d6d8 c7c8 d8c8,2,White
2r1r1k1/1p1b4/p6Q/3q4/P7/5RNp/1P5P/5R1K w - - 0 35,g3h5 d5f3 f1f3 e8e1 f3f1 e1f1,3,White
6Q1/2r3pk/p2p2Np/2p1p2P/1PPb2P1/P7/3q4/1K3R2 b - - 2 36,h7g8 f1f8 g8h7 f8h8,2,White
R7/1P6/P7/6p1/6n1/6k1/5r2/4RK2 w - - 2 38,f1g1 f2g2 g1f1 g4h2,2,Black
r3Q1kr/p3b1pp/2p1N3/q1p5/2B5/8/PP3PPP/R1n2R1K b - - 3 18,a8e8 e6c5 g8f8 c5d7,2,White
2kr1b2/ppp5/5nB1/5Np1/4pPP1/8/PPq1KRPQ/R7 w - - 0 23,e2f1 d8d1 a1d1 c2d1,2,Black
2r3rk/1p3p1Q/p1n2Pp1/3p4/3p2q1/2PB4/PP1N1K2/R4R2 b - - 0 23,h8h7 f1h1 g4h5 h1h5,2,White
2r1r1k1/p1p4p/3p1Qp1/5N2/1PP3N1/8/5PRP/3q3K w - - 11 34,g2g1 d1f3 g1g2 e8e1,2,Black
r4r1Q/3qppk1/p2p4/8/1p2P3/5P2/PPbQ2P1/2KR3R b - - 0 20,f8h8 d2g5 g7f8 h1h8,2,White
2rq1r1k/p6p/b5QN/4p3/2N3P1/2b5/P1K3PR/7R b - - 2 30,a6c4 h6f7 f8f7 h2h7 f7h7 g6h7,3,Black
r2q4/pp2kp2/4pRp1/2pp2P1/3P2P1/6p1/PPPQ2P1/5RKr w - - 5 24,g1h1 d8h8 h1g1 h8h2,2,Black
4rk2/p3r1np/2R4N/3p2p1/1P1b1p2/P7/5PPP/3R2K1 b - - 3 32,d4b6 c6f6 e7f7 f6f7,2,Black
2k5/3bN3/2pQp3/p1PpP3/3P4/6K1/q4r2/8 b - - 1 45,c8d8 e7c6 d8e8 d6e7,2,White
2r3k1/1p3p2/p5p1/4R3/1Q4b1/6Pp/PPq4P/1K2R3 w - - 1 32,b1a1 c2c1 e1c1 c8c1,2,Black
r4rk1/pp3Rpp/1qp5/8/2Q5/8/P1P3PP/5R1K b - - 2 20,f8f7 c4f7 g8h8 f7f8 a8f8 f1f8,3,White
4Q1k1/p1p2r1p/1b4pP/4P3/3qN3/P4P2/3pK1P1/7R b - - 3 30,f7f8 e4f6 g8h8 e8f8,2,White
rn2r1k1/ppp1qbb1/3p1NQ1/4p1N1/3P4/2P1P3/PP3PP1/R1B1K2R b KQ - 0 16,e7f6 h1h8 g8h8 g6h7,2,White
5rk1/pppQ1Rpp/8/3pr3/8/P3q1P1/6PP/5R1K b - - 2 23,f8f7 d7f7 g8h8 f7f8,2,White
r1kr4/pp2R1pp/4p3/1Q2P3/1P6/P1N5/6PP/3q3K w - - 1 23,c3d1 d8d1 b5f1 d1f1,2,Black
7Q/p1p3r1/1p5k/1P3pp1/2P2p2/q2r3P/P5PK/4R3 b - - 1 39,h6g6 e1e6 g6f7 h8e8,2,White
6nk/2p4R/1p2qp1B/p3bp1Q/P1PpP3/3P4/2P4P/7K b - - 0 34,h8h7 h6f8 g8h6 h5h6 h7g8 h6g7,3,White
4r1k1/1p1r2pp/p7/3Pnp2/8/1PQR1pPq/PB3P1P/4R1K1 w - - 6 31,d3f3 e5f3 c3f3 e8e1,2,Black
4rr1k/ppR4p/3Q1Rp1/8/1P1p4/P5N1/6PP/1q5K w - - 1 24,g3f1 b1f1 f6f1 f8f1,2,Black
8/p1N2Q2/4R2p/6q1/7k/P2P2r1/1PP2Pb1/5R1K w - - 2 40,h1h2 g3h3 h2g1 g2f3,2,Black
5r1k/4prB1/b2pB1Q1/q1pP4/8/2N2P2/PP2P3/R3K3 b Q - 0 25,f7g7 g6h6 g7h7 h6f8,2,White
7k/2p3pp/p1Qp4/2bN1qB1/8/5N2/PP2rPPP/R5K1 w - - 1 23,a1e1 e2e1 f3e1 f5f2 g1h1 f2e1,3,White
7Q/5pkp/6p1/4p1P1/1n2q3/1p5R/1P3P2/K6R b - - 0 34,g7h8 h3h7 h8g8 h7h8 g8g7 h1h7,3,White
1k1r4/rp1P1p2/pN2p1pp/n7/8/2R1B1P1/5P1P/6K1 b - - 0 32,a5c6 e3f4 e6e5 f4e5 c6e5 c3c8 d8c8 d7c8q,4,White
4rk1Q/ppp1qrp1/3p1nn1/4p1N1/4P3/3P4/PPP1NPP1/1K5R b - - 4 22,g6h8 h1h8 f6g8 g5h7,2,White
R7/7R/p1kn4/1p1p4/5b2/P1P5/KP4r1/4r3 b - - 9 49,e1e2 a8a6 c6c5 h7c7,2,Black
r1b2rk1/p7/q3pQp1/1p1p4/3N4/7R/P2N1PP1/4K2R b K - 0 21,f8f6 h3h8 g8f7 h1h7,2,White
r7/1pq2r1k/p2b1BQ1/2nPp2b/8/2N5/PPP2R2/6RK b - - 0 29,h5g6 f2h2 g6h5 h2h5,2,White
5Qk1/5ppp/8/3N4/4P2b/5q2/P4P1P/1R4K1 b - - 0 21,g8f8 b1b8 h4d8 b8d8,2,White
3r2k1/pr5p/2p1bRpB/5q2/8/1PQ5/P1P2PPP/3R2K1 w - - 1 24,f6f5 d8d1 c3e1 d1e1,2,White
4r3/p5k1/2p3p1/2Pp1q2/3Pnb2/4PN1p/P3Q1pK/1R2R1B1 w - - 2 41,e3f4 f5f4 h2h3 f4g3,2,Black
q1r5/1bp3k1/5nBp/3ppN2/3bP3/3P4/1PP2PPP/2Q2RK1 b - - 3 20,g7g6 c1h6 g6f7 h6g7 f7e6 g7e7,3,White
4k1Rr/5p2/r1p1p2p/p1Q1B3/1n1P4/5q1P/2PK4/6R1 b - - 1 31,h8g8 g1g8 e8d7 c5d6,2,White
5rk1/p1p1q1p1/1p1p2P1/3Pp2Q/2P5/1P5P/P5K1/5R2 b - - 0 29,f8f1 h5h7 g8f8 h7h8,2,White
r2b1rk1/pb1nqBp1/1p2p2p/2pnP1N1/5BpP/2P2P2/PPQN4/2KR3R b - - 2 18,f8f7 c2h7 g8f8 h7h8,2,White
3r3k/3r1pp1/p6p/1p6/4B3/5PPb/PRQ4P/1R1q3K w - - 13 38,b1d1 d7d1 c2d1 d8d1,2,Black
5r1k/pp3Npp/6r1/3Q4/P3p1n1/2P1q1P1/1P4KP/R7 b - - 18 35,f8f7 d5d8 f7f8 d8f8,2,White
7k/6p1/7p/1QPpb1p1/P7/7P/5qPK/2B1N3 w - - 2 36,h2h1 f2e1 b5f1 e1f1,2,Black
2b2r1k/6pp/P1Q1pq2/8/3Pp3/1B6/2P3PP/R3Rr1K w - - 1 28,e1f1 f6f1 a1f1 f8f1,2,Black
1k1r1b2/pbp1q1p1/1p2p3/4NP2/3P1P2/2PB2p1/PPQB2P1/4R1Kr w - - 2 23,g1h1 e7h4 h1g1 h4h2 g1f1 h2g2,3,Black
2Q2r1k/6pp/5p2/4p3/Q2p4/P4q1P/3BnP2/2R3K1 w - - 1 37,g1f1 e2g3 f1g1 f3h1,2,Black
3Q3k/1pB2rpp/p4b2/5p2/8/8/PPP2qPP/2KR3R b - - 0 26,f6d8 d1d8 f7f8 d8f8,2,White
Q5k1/1p3p1p/8/4P2P/6P1/1rq1BK2/8/8 b - - 4 39,g8g7 h5h6 g7g6 a8g8,2,White
3Q4/8/4b1pp/5p1k/1q3P2/6PK/8/8 b - - 0 59,g6g5 d8e8 e6f7 e8f7,2,White
r6k/BR4p1/Q2p3p/2PPp3/P2bP2P/6q1/6R1/5r1K w - - 4 33,a6f1 g3h3 g2h2 h3f1,2,Black
1Q6/3bkp2/p7/1p1P1P2/8/P1qP2pP/6B1/5R1K w - - 2 45,f1e1 c3e1 g2f1 e1f1,2,White
1r3k2/5ppQ/8/q4N2/8/P2P3P/6P1/1K1RR3 w - - 7 40,b1c2 a5c5 c2d2 b8b2,2,White
1k5r/ppp3p1/4Q1p1/2b2BP1/5P2/2P2R2/PP2PK2/RN5q w - - 3 23,e2e3 h8h2 f2g3 h1g1,2,Black
8/3kRp1p/R2P2p1/2p5/3r4/8/1r3PPP/6K1 b - - 1 30,d7d8 a6a8 b2b8 a8b8,2,White
r4r1k/nR6/4Bqp1/p6Q/Np2P1P1/8/PPP5/1K5R b - - 0 25,g6h5 h1h5 f6h6 h5h6,2,White
8/pn5p/2Q1p3/kp1p4/1P1Pq1pP/2PpP1B1/P2K2P1/8 b - - 0 31,a5a4 c6a6 b7a5 a6a5,2,White
Q3R3/p1p2p2/1p6/7p/k1PB2p1/qn6/5PPP/1R4K1 w - - 0 35,b1b3 a3c1 e8e1 c1e1,2,White
r6r/pp3R1k/2nnN1pp/8/3P3P/2P5/PP4P1/5RK1 b - - 3 26,d6f7 f1f7 h7g8 f7g7,2,White
r1b2rk1/2q2p2/p3p1BR/1p4Q1/7R/2b5/PPP3PP/7K b - - 0 23,f7g6 g5g6 c3g7 h6h8,2,White
8/5pk1/5Qpp/p3Pp2/P4q2/2r5/6PP/3R3K b - - 3 35,g7g8 d1d8 g8h7 f6f7,2,White
2r4k/p5bp/6p1/5p2/8/BN1R4/PP3PPP/2r3K1 w - - 1 37,b3c1 c8c1 d3d1 c1d1,2,Black
8/4p2Q/p4k2/1p2b3/4r3/P2n3P/1P3pP1/1R4K1 w - - 0 44,g1f1 e4e1 b1e1 f2e1q,2,Black
r1b2rk1/4np2/pq1p2pQ/1p4N1/4P3/8/P1P1BPPP/b4RK1 b - - 1 19,f8d8 h6h7 g8f8 h7f7,2,White
1r4k1/2p1R1pp/p3Qp2/3p3P/2pP4/2P5/Pq3PP1/6K1 b - - 1 32,g8h8 e7e8 b8e8 e6e8,2,White
5rk1/Qp3rp1/2b1p2p/4P3/1P1p4/P6P/3q2pB/3RR1K1 w - - 0 36,d1d2 f7f1 e1f1 g2f1q,2,Black
4r1k1/5ppp/p4n2/3P1P2/1p3R2/8/4N1PP/1Bq4K w - - 0 28,e2c1 e8e1 f4f1 e1f1,2,Black
4r1k1/2p2pp1/1p3n1p/1P6/8/3Q1P2/2PRpqPP/4R2K w - - 4 28,d2e2 f2e1 e2e1 e8e1 d3f1 e1f1,3,Black
7k/p6p/1pp2P2/4P3/N3b3/1PB1b2P/P4RPK/3r4 w - - 3 31,f2e2 e3f4 g2g3 d1h1,2,White
2Q3rk/1p5p/4b3/4Nr2/3Ppn2/1Q6/5P1q/2R2R1K w - - 0 31,h1h2 f5h5 b3h3 h5h3,2,Black
1k6/pp4p1/7p/8/1nQ5/2N5/1PPq1PPP/1K2r2R w - - 5 26,h1e1 d2e1 c3d1 e1d1,2,Black
5rk1/3p1p2/6R1/1p2P1Q1/3P2R1/pq6/2r3P1/6K1 b - - 0 36,f7g6 g5g6 g8h8 g4h4,2,White
1k5r/pp6/2p3r1/4p3/5bQ1/P1NP3P/1PP2qP1/1R5K w - - 0 29,g4g6 h8h3 g2h3 f2h2,2,Black
1r4k1/6PR/5p1K/1r6/7P/p7/8/8 b - - 0 41,a3a2 h6g6 b5g5 h4g5 f6f5 h7h8,3,Black
4r2k/pp2PQpp/1q6/5p2/5B2/7P/P1P3PK/8 b - - 2 31,b6g6 f7f8 e8f8 e7f8q,2,White
8/3R2p1/1rP1R2p/3P1k2/8/8/P4PPP/6K1 w - - 5 43,d7g7 b6b1 e6e1 b1e1,2,White
8/p5pp/4Q1b1/6k1/4p1P1/6KN/P1P5/q7 b - - 14 39,g5h6 g4g5 h6h5 e6g4,2,White
r2q1r2/1p1bpBkp/2np2P1/p7/P2Q4/6NP/1PP3P1/R1B2RK1 b - - 0 21,c6d4 g3h5 g7h8 g6g7,2,White
4r2k/6pp/p4p2/8/5p1P/2P2q2/PP3P2/3R2K1 b - - 0 29,e8e2 d1d8 e2e8 d8e8,2,Black
2k3r1/1pp2Q1p/p7/b2PP3/3P4/4B2P/Pq6/2R1K3 w - - 1 29,e1d1 g8g1 e3g1 b2d2,2,Black
5rkr/5Qpp/7q/8/8/8/PPP3PP/4RR1K b - - 0 22,f8f7 e1e8 f7f8 f1f8,2,White
4r2k/2R3pp/8/2p1Q3/1p1n4/7P/PPP2PPK/8 b - - 0 37,e8e5 c7c8 e5e8 c8e8,2,White
6rk/pp4qp/2pp1p2/4pP2/3PP3/NRPQ4/P5rP/5R1K w - - 2 26,d3h3 g2g1 f1g1 g7g1,2,Black
r7/1P2ppk1/3p2p1/3P2Kp/2QbPP2/1R5P/6P1/4q3 w - - 2 32,c4d4 f7f6 d4f6 e7f6,2,Black
1k2n1Q1/pb6/1pp3p1/3p4/3P1q2/2NB4/PPP5/RK3r2 w - - 0 29,d3f1 f4f1 c3d1 f1d1,2,Black
4rk2/p6p/2p5/2P2p2/P3nN2/1Q2Pq1P/8/3RRK2 w - - 2 40,f1g1 f3f2 g1h1 e4g3,2,Black
Q4R2/3r1npk/5pB1/ppq1pPp1/2p1P3/2P3P1/PP6/7K b - - 3 37,h7h6 f8h8 f7h8 a8h8,2,White
6k1/p4r1p/2n3pB/2P1Qp2/4p3/7P/4qPP1/1R2N1K1 b - - 0 32,c6e5 b1b8 f7f8 b8f8,2,White
r5k1/7p/3Bp1p1/1p2P3/2pp2QK/4q3/PP6/6RR w - - 0 34,g1g3 e3h6 g4h5 h6h5,2,White
2k5/1pp2p1p/p3p3/7q/4P2P/P4Pp1/1P2Q1P1/5R1K w - - 1 28,f1e1 h5h4 h1g1 h4h2 g1f1 h2h1,3,Black
5r1k/4N1B1/7p/1Ppp2pQ/2b1p3/4P3/r4qPP/1R2R2K b - - 0 31,h8g7 h5g6 g7h8 g6h6,2,White
8/p1p1kB2/1p1p4/6P1/5b2/7Q/PPq1rP2/KR6 b - - 4 34,f4e5 h3e6 e7f8 e6e8 f8g7 e8g8,3,Black
4r3/5k2/1Q1p4/p1pP1p2/2P2P2/P1n2qPp/7P/5R1K w - - 1 34,f1f3 e8e1 f3f1 e1f1,2,Black
2r3k1/3q1pp1/4p3/4P2p/5P2/NP2b3/P5PP/3R3K w - - 0 25,d1d7 c8c1 d7d1 c1d1,2,Black
3r3k/5P1p/3p2p1/1p1QR3/7q/1BP5/1P4PP/7K b - - 0 28,d6e5 d5e5 h4f6 e5f6,2,White
3r1rk1/pp4pp/8/3p4/3Q4/2NP1qPb/PPP4P/R3R1K1 w - - 1 26,e1e2 f3f1 a1f1 f8f1,2,Black
6k1/pp3p1p/5p2/2q5/8/1P5Q/P4nPP/5R1K w - - 6 31,f1f2 c5c1 f2f1 c1f1,2,Black
8/p7/1p2NQ2/3p2p1/3P4/5P1P/5kPK/4q3 w - - 1 36,h3h4 e1g1 h2h3 g1g2,2,Black
8/2p2R1p/5p2/p4P2/8/4BBk1/1rN5/6K1 w - - 1 33,f3e4 b2b1 e3c1 b1c1 c2e1 c1e1,3,White
4rk2/1Q3p2/1p6/1P5p/P2Pn2q/5B2/2P2PrN/R5K1 w - - 0 33,f3g2 h4f2 g1h1 e4g3,2,Black
5r1k/2Q3pp/8/6q1/5r2/2N4P/PPP5/4RRK1 w - - 1 25,g1h2 f4f2 f1f2 f8f2 h2h1 g5g2,3,Black
2rq1kQ1/1p2p3/3b1pp1/3P4/1p3PPR/8/PPP5/2K4R b - - 0 28,f8g8 h4h8 g8f7 h1h7,2,White
8/7p/1b2k1p1/5p2/2N2P2/5P2/PP2r1rP/R1B3KR w - - 10 28,g1f1 g2f2 f1g1 e2e1,2,Black
4r1k1/1r1qpp1p/3p1PpQ/3P4/1p2R1P1/1p5P/P1P5/1K2R3 b - - 1 29,b3c2 b1c1 e7f6 e4e8 d7e8 e1e8,3,White
8/p7/P7/R1pP4/2Pb1p2/4pBk1/6P1/5RK1 w - - 3 44,a5b5 e3e2 g1h1 e2f1q,2,White
4r1k1/pp3p1p/6p1/2p2b2/3b4/Pq4BP/1P1N1pP1/3R1K1R w - - 0 23,d2b3 f5d3 d1d3 e8e1,2,Black
2r5/8/4Q1pk/p2pP2R/Pp6/6P1/1P1q1P1P/2r2RK1 b - - 0 32,h6h5 e6h3 h5g5 f2f4 d2f4 g3f4,3,White
3r3k/1Q5p/6p1/1pP1p3/3q4/3R2BP/5PK1/8 b - - 0 40,d4d3 g3e5 h8g8 b7g7,2,White
r1b2k1r/pp2p1b1/1np1N1Bp/q7/6n1/2N1B3/PPPQ1PPP/2KR3R b - - 0 14,c8e6 d2d8 a8d8 d1d8,2,White
5r2/pp2prkp/3pQ1p1/8/1P6/P2P4/6PP/R3Rq1K w - - 2 24,e1f1 f7f1 a1f1 f8f1,2,Black
1r1q1r1k/p5bp/1p1P1pN1/4P3/2BQ4/5P1P/PP5B/6K1 b - - 0 28,h7g6 d4h4 g7h6 h4h6,2,White
r2Q2kr/pqN3p1/1p3bBp/2p2P2/2b5/8/P1P2PPP/3RR1K1 b - - 5 24,a8d8 d1d8 f6d8 e1e8,2,White
3q1rk1/p6p/1p3pRP/2p1R3/8/6Q1/6PK/8 b - - 0 35,h7g6 g3g6 g8h8 g6g7,2,White
