FEN,Moves,MateIn,Winner
2kr3r/pppn1ppp/8/8/3PN1n1/5N1q/PPP1Bb2/R1BQR1K1 w - - 0 20,e4f2 h3g3 g1f1 g3f2,2,Black
2k5/pp3R2/2pp4/4p3/1P2P3/PK1P1QP1/1r6/2q5 w - - 15 41,b3a4 c1c2 a4a5 b7b6 a5a6 c2a4,3,Black
r4rkR/1pq3p1/2pbp1p1/p3P1N1/8/2P1PQ2/PP4P1/2K5 b - - 1 20,g8h8 f3h3 h8g8 h3h7,2,White
3k3r/ppp2Bb1/2nRQ2p/q5p1/5p2/8/PPP2BPP/3N2K1 b - - 0 20,c7d6 e6d6 d8c8 f7e6,2,White
r5k1/3p1p1r/3PpBp1/p3P3/Pp1nqb2/1B4N1/1PP2PKP/3R1R2 w - - 0 31,g3e4 h7h2 g2g1 d4f3,2,Black
r2q1rk1/pp3ppp/4p3/8/1b2B3/4R2Q/PP2nPPP/R1B3K1 w - - 2 16,e3e2 d8d1 e2e1 d1e1,2,Black
2r3k1/1p1p1ppp/1P2p3/8/6n1/7q/1PPPPP1P/R1BQ1nK1 b - - 0 18,c8c5 a1a8 c5c8 a8c8,2,Black
2Q2r2/6kp/3P4/pN1Qp2q/2P1P3/P3brPp/6bP/R3R1K1 w - - 1 32,e1e3 f3f1 a1f1 f8f1,2,Black
r1bq2k1/5Rb1/pp2p2Q/2ppN3/3P4/3B4/PPP3PP/6K1 b - - 0 24,g7h6 d3h7 g8h8 e5g6,2,White
4qB1k/pp4pp/4K3/2Q1P3/2P5/3r2PP/P7/R6R w - - 7 32,f8e7 e8d7 e6f7 d3f3,2,Black
1kr5/ppQ4b/8/8/3P4/3q3P/PP4P1/K1R2R2 b - - 0 28,c8c7 f1f8 c7c8 c1c8,2,White
2k2Q2/pR4pp/2prr3/N2n4/3q4/6P1/P4PKP/8 b - - 11 31,d6d8 b7b8 c8b8 f8d8,2,White
r7/5p2/7p/3R2p1/6P1/2k1P2P/5r2/K2B3R w - - 1 37,a1b1 f2b2 b1c1 a8a1,2,Black
5rk1/pp4pp/5q2/3P4/3Pp1p1/6P1/PPQ1R1KP/4Rr2 w - - 1 27,c2e4 f6f2 e2f2 f8f2,2,Black
5Qkr/p4p2/1q2pPp1/4P1p1/3p2N1/7P/PP3PK1/2R5 b - - 0 28,g8f8 c1c8 b6d8 c8d8,2,White
r6r/pp1bqkQ1/1nn1N3/3pPp2/3P1P2/8/PPN3PP/R3K2R b KQ - 0 20,f7e6 g7g6 e7f6 g6f6,2,White
r1b3r1/2b5/p4n1p/3p2k1/3P4/3BP1PN/PP3P2/3Q2K1 b - - 0 28,c8h3 f2f4 c7f4 e3f4,2,White
2k5/1RR3pp/2p5/p1N1p2n/P7/1P5P/2nr4/3r1NK1 b - - 6 28,c8d8 c5e6 d8e8 c7e7,2,White
r1bq2kR/1pp1b1p1/p1n1p3/5rN1/2PPQ3/P3P3/1P3PP1/R3KB2 b Q - 3 15,g8h8 e4h4 h8g8 h4h7 g8f8 h7h8,3,White
r1n3rk/6b1/p5Qp/1pq1PpN1/8/6P1/PP3R1P/5RK1 b - - 1 26,h6g5 g6h5 g7h6 h5h6,2,White
1r1Q3k/5Rpp/5b2/p1p1p3/7P/2P3P1/P3qP2/3R2K1 b - - 5 31,b8d8 d1d8 f6d8 f7f8,2,White
3r1k2/2Q2ppp/2R5/1B2r3/8/4BP2/PPP3qP/2K5 w - - 1 23,c7e5 g2h1 e3g1 h1g1 b5f1 g1f1 e5e1 f1e1,4,White
